"Source","Target"
"Decker MW"," McGaugh JL."
"Paterson D"," Ognjenovic M."
"Wojcik SM"," Brose N."
"Nock B"," Feder HH."
"Steiner A"," Roussel AJ."
"Spencer RF"," Wang SF."
"Gilbey MP"," Spyer KM."
"Brown MJ"," Macquin I."
"Hettie KS"," Glass TE."
"Zanchetti A"," Stella A."
"Harden CL"," Pennell PB."
"Haitchi HM"," Holgate ST."
"Wang M"," Arnsten AF."
"Robinson MB"," Dowd LA."
"Satin LS"," Kinard TA."
"Sugiyama E"," Sugiura Y."
"Redburn DA"," Rowe-Rendleman C."
"Petrova NN"," Dorofeykova MV."
"Samson WK"," Resch ZT."
"Donzanti BA"," Yamamoto BK."
"Buchner E"," Gundersen CB."
"Gilron I"," Coderre TJ."
"Brzezinski A"," Benshushan A."
"Barajas-López C"," Huizinga JD."
"Ginsborg BL"," Searl JW."
"Frieling T"," Strohmeyer G."
"Zuiderwijk M"," Ghijsen WE."
"Mirmiran M"," Swaab DF."
"Buznikov GA"," Shmukler IuB."
"Mody I"," Pearce RA."
"Caspani G"," Swann J."
"Smaldone MC"," Chancellor MB."
"Boehm S"," Kubista H."
"Krueger S"," Fitzsimonds RM."
"Green WN"," Millar NS."
"Zablocka-Esplin B"," Esplin DW."
"Braun RL"," Peters MA."
"McGeer PL"," McGeer EG."
"Torre E"," Bogetto F."
"Hsu CT"," Bhandawat V."
"Kuriyama K"," Ohkuma S."
"Dieterich M"," Brandt T."
"Sukhdeo MV"," Mettrick DF."
"Dunn AL"," Dishman RK."
"Ikeda H"," Sheardown MJ."
"Strata P"," Harvey R."
"Archer DP"," Ravussin PA."
"Löscher W"," Hörstermann D."
"Lafon-Cazal M"," Morandini M."
"Dunant Y"," Israël M."
"Fernández-de-Miguel F"," Drapeau P."
"Sato M"," Morimoto K."
"Malchow RP"," Ramsey DJ."
"Beglinger C"," Gyr K."
"Barbanti P"," Fabbrini G."
"Schedlowski M"," Schmidt RE."
"Płaźnik A"," Kostowski W."
"Moore GJ"," Galloway MP."
"Haydon PG"," Man-Son-Hing H."
"Telegdy G"," Adamik A."
"Soon-Shiong P"," Debas HT."
"Morimoto K"," Sato K."
"Keller R"," Wunderer G."
"Brock JA"," Cunnane TC."
"van den Pol AN"," Tsujimoto KL."
"Paul SM"," Purdy RH."
"Avery DD"," Penn PE."
"Moosavi M"," Hatam GR."
"Yu W"," Miller RF."
"Vlasova IG"," Dolgopol'skii AL."
"Vincent JD"," Simonnet G."
"JavadiEsfahani R"," Kwong RWM."
"Brose N"," Rosenmund C."
"Gorman JM"," Sullivan G."
"Revin SB"," John SA."
"Furukawa T"," Matsuura S."
"Moroji T"," Matsuzaki I."
"Compagnone NA"," Mellon SH."
"Firdaus M"," Bukhari N."
"Rodríguez de Lores Arnaiz G"," Pellegrino de Iraldi A."
"Yamashita H"," Nagatomo T."
"Hamani C"," Moro E."
"Krajniak KG"," Greenberg MJ."
"Seil FJ"," Leiman AL."
"Fritz MA"," Speroff L."
"Harro J"," Oreland L."
"Huffman ML"," Venton BJ."
"Snyder SH"," Ferris CD."
"DeFeudis FV"," Martin del Rio R."
"Boto T"," Tomchik SM."
"Jackson DM"," Westlind-Danielsson A."
"Leslie RA"," Osborne NN."
"Machova J"," Boska D."
"Chey WY"," Chang T."
"Fosse VM"," Fonnum F."
"Matias I"," Di Marzo V."
"Torimitsu K"," Niwa O."
"Buznikov GA"," Berdysheva LV."
"Toljić Đ"," Angelovski G."
"Hakoda H"," Itoh H."
"Barry PH"," Lynch JW."
"Monti B"," Contestabile A."
"Kinugawa S"," Tsutsui H."
"McCairn KW"," Isoda M."
"Hollmann W"," Strüder HK."
"Kalloniatis M"," Fletcher EL."
"Trudeau LE"," Gutiérrez R."
"Naquet R"," Mennini C."
"Murphy BF"," Larimer JL."
"Crunelli V"," Di Giovanni G."
"Chistopol'skii IA"," Sakharov DA."
"Desai RV"," Bansilal S."
"Cantrill RC"," Brennan MJ."
"Chase DL"," Koelle MR."
"Conlay LA"," Zeisel SH."
"Oja SS"," Saransaari P."
"Pyza E"," Meinertzhagen IA."
"Rangiah K"," Palakodeti D."
"Matusák O"," Bauer V."
"Fonnum F"," Walaas I."
"Todorov L"," Papasova M."
"Murley AG"," Rowe JB."
"Moroz LL"," Kohn AB."
"Iakovlev GM"," Karlov VA."
"Rief W"," Barsky AJ."
"Brain PF"," Haug M."
"Bass AH"," Grober MS."
"Dobrynina ZB"," Lebedev GP."
"Bartłomiejska I"," Siusta M."
"Rudnick G"," Clark J."
"Schadt JC"," Ludbrook J."
"Krieger DT"," Krieger HP."
"Kanner BI"," Schuldiner S."
"Brownstein MJ"," Mezey E."
"Goadsby PJ"," Lance JW."
"Coyle JT"," Puttfarcken P."
"Oishi Y"," Lazarus M."
"Nestler EJ"," Hyman SE."
"Conti F"," Manzoni T."
"Amara SG"," Pacholczyk T."
"Growdon JH"," Wurtman RJ."
"Rotstein M"," Kang UJ."
"Klauenberg BJ"," Merritt JH."
"Gaillard WD"," Carpenter DO."
"Walsh JB"," Tuckwell HC."
"Schenk S"," Newcombe D."
"Fitch J"," Djamgoz MB."
"Parnas I"," Parnas H."
"Davis JM"," Bailey SP."
"Lau AY"," Roux B."
"Yee LF"," Mulvihill SJ."
"Ichinose M"," McAdoo DJ."
"Francis PT"," Bowen DM."
"Wolinsky EJ"," Patterson PH."
"Chan O"," Sherwin R."
"Coffey RG"," Hadden JW."
"Goff DC"," Evins AE."
"de Blas A"," Mahler HR."
"Ponnuswamy PK"," Lakshmanan M."
"Kryzhanovskiĭ GN"," Evseev VA."
"Greene JG"," Greenamyre JT."
"Murcott CA"," Carpenter JR."
"Takahashi M"," Ohnishi H."
"Zametkin AJ"," Rapoport JL."
"Vallet PG"," Bouras C."
"Veldhuis JD"," Johnson ML."
"Pessin M"," Adler R."
"Kesner RP"," Ellis ME."
"McFadden PN"," Koshland DE Jr."
"Garaschuk O"," Verkhratsky A."
"Scimemi A"," Beato M."
"Ago Y"," Matsuda T."
"Spafford JD"," Zamponi GW."
"Morley JE"," Blundell JE."
"Morris JL"," Gibbins IL."
"Herpertz S"," Schweiger U."
"Chance WT"," Fischer JE."
"McLean MA"," Barker GJ."
"Taban CH"," Cathieni M."
"Schmid A"," Duncker M."
"Obrenovitch TP"," Richards DA."
"O'Halloran DJ"," Bloom SR."
"Thomas-Reetz AC"," De Camilli P."
"Ranft U"," Hennig A."
"Ozaki M"," Sugawara K."
"Nazarali AJ"," Reynolds GP."
"Veselkin NP"," Natochin IuV."
"Siomopoulos V"," Crawford JW."
"Schultz KN"," Kennedy RT."
"Moriyama S"," Artis D."
"Astrov VV"," Kutsenko SA."
"Trouve R"," Nahas G."
"Uzan S"," Salat-Baroux J."
"Kier LB"," Truitt EB Jr."
"Gleiter CH"," Nutt DJ."
"Bruun A"," Ehinger B."
"Banks WA"," Kastin AJ."
"Arnold LE"," Nemzer E."
"Vincze E"," Köves K."
"Arango-Lievano M"," Jeanneteau F."
"Yazawa T"," Uemura I."
"Meinertzhagen IA"," Pyza E."
"Chub N"," O'Donovan MJ."
"Matsuda NM"," Miller SM."
"Mehta UM"," Gangadhar BN."
"Lipton SA"," Stevens CF."
"Shafer TJ"," Atchison WD."
"Bondy SC"," Harrington ME."
"Ellis KA"," Nathan PJ."
"Trendelenburg G"," Ströhle A."
"Mathangi DC"," Namasivayam A."
"Arrigoni E"," Saper CB."
"Arias-Carrión O"," Salama M."
"Cuadra G"," Giacobini E."
"Taylor JW"," Kaiser ET."
"Martinez D"," Narendran R."
"Bicker G"," Menzel R."
"Schwertz DW"," Barry CP."
"Puech AJ"," Martin P."
"Wong-Riley MT"," Liu Q."
"Hestrin S"," Galarreta M."
"Nakamura S"," Dohi T."
"Smith BH"," Rosich-Pla A."
"Connolly KR"," Thase ME."
"Matteoli M"," De Camilli P."
"de las Cuevas Castresana C"," González de Rivera JL."
"Langmeier M"," Maresová D."
"Liss S"," Liss B."
"Ashwood P"," Van de Water J."
"Pleuvry BJ"," Lauretti GR."
"Paterson WG"," Indrakrishnan B."
"Kahsai L"," Winther AM."
"Brownlee DJ"," Fairweather I."
"Burn DJ"," Warren NM."
"Dave UP"," Dastur DK."
"Nelson N"," Lill H."
"Mariussen E"," Fonnum F."
"Calzà L"," Giardino L."
"Brown DR"," O'Grady SM."
"Soto G"," Othmer HG."
"van Balken I"," Litvan I."
"Anderson H"," Yang Y."
"Oleinik AA"," Vast'ianov RS."
"Del Bigio MR"," Bruni JE."
"Katz J"," Waisman H."
"Gironell A"," Marin-Lahoz J."
"Whittle IR"," Piper IR."
"Hollmann W"," Strüder HK."
"Martinez-Millan L"," Pinilla MJ."
"Juchault P"," Legrand JJ."
"Mullen KD"," Kaminsky-Russ K."
"Gustafsson B"," Wigström H."
"Vizi ES"," Kiss JP."
"Nagy J"," Decsi L."
"Sun XP"," Stanley EF."
"Reis DJ"," Regunathan S."
"Luo H"," He RR."
"Elkhatib SK"," Case AJ."
"Mandell AJ"," Selz KA."
"Ball GF"," Balthazart J."
"Cottrell GA"," Turner JD."
"Chiu SY"," Kriegler S."
